,ID,Query,Answer
12,22,認知症にならないためにできることは？,認知症とは認知障害の一種であり、ヒトの脳の後天的な器質的障害により、いったん正常に発達した知能・知性が不可逆的に低下する状態を指します。老化に伴う脳の器質的障害とともに、身体のいずれかが機能不全を起こすことが多かったため、社会問題化することはありませんでした。近年では身体の老化による障害は投薬などにより機能をある程度維持することが可能になりましたが、脳の機能は投薬などでは劣化を防げなかったため顕在化しました。知的活動や他人とのコミュニケーション、身体運動などによる予防が試みられています。
13,23,ドラえもんの特徴といえば？,ドラえもんは、藤子・F・不二雄の漫画作品『ドラえもん』に登場する架空のネコ型ロボットで、同作品の主人公です。球状の頭部と胴体、短い手足をもち、実物のネコの体毛によくあるように、体と顔面・腹部でツートンに色分けされていて、体は青色で顔面と腹部は白色になっています。鼻と尻尾の先は赤色です。ドラやきが大好物で、そのこだわりはとても強く、甘すぎるドラやきは邪道という持論を持っています。
14,24,NTTドコモのスマホ料金プランについて説明できる？,NTTドコモは2022年にNTTコミュニケーションズを傘下に収めたため、格安スマホ「OCNモバイルONE」をNTTドコモショップで販売しています。NTTグループでは、すでにNTTドコモにおいて移動体通信事業のサービスが提供されてきましたが、これとは別でNTTコミュニケーションズも2013年8月に通信容量や速度を利用者の生活スタイルに合わせた5つのコースから成る「OCNモバイルONE」の提供を開始しました。2023年7月1日、NTTドコモは本ブランドの後継となる新料金プランとして「irumo」を提供開始し、それに伴って本ブランドは同年6月26日に終了しました。
15,25,SNSが炎上する原因について調べておきたい。,炎上とは、インターネット上のコメント欄などにおいて、稚拙な批判や誹謗中傷などを含む投稿が集中することをいいます。日本のインターネット上のコミュニティではしばしば、内容そのものよりも形式的な作法や感情の盛り上がりを重視する現象がみられ、炎上も、当初は内容面だった対立が次第に語り口などの形式面への批判にスライドしていく傾向があります。炎上につながるような無礼・不謹慎な発言、犯罪行為の告白、尊大な言動、価値観の押しつけや否定、意見が対立しやすいトピックへの言及などの発言をしないように注意することで、ある程度は炎上を予防することができます。
16,26,声優になるにはどういう手順を踏めばいい？,声優になることを目指すには、声優の養成所や専門学校に通うのが最も一般的です。養成期間はおおむね1年から3年で、養成機関修了後に行われる所属オーディションに合格するとプロダクション所属となります。この時点では「新人」「ジュニア」「仮所属」などと称される見習い期間となり、見習い期間が終了し、内部審査を経て認められた者だけが正所属となります。その他に、日本大学芸術学部、桐朋学園芸術短期大学、玉川大学、大阪芸術大学などの大学教育機関を修了する方法もあります。また、舞台演劇やミュージカルで活動する舞台役者が、その後声優として長く活動するようになる例もあります。
17,27,天気予報ってどうやって予測してんの？,現代の天気予報システムは、情報収集、情報の融合、数値予報、気象変化の型を叩き出す、エンドユーザに対する予測の提供という5つの構成要素から成り立っています。陸上では、温度計などの各種計器をセットで自動気象観測所として設置することが多く、日本ではアメダスがこれに当たります。海上では、気温や気圧等に加えて海水温や流速等を観測する海洋気象ブイの設置が進んでおり、気象観測船による観測も各国が行っています。天気予報を行う上では地上〜対流圏上部付近までの上空の気温などを知ることが非常に重要であり、無人化の流れの中でも人手と観測網は維持されています。気象庁では、COSMETSで情報の統合整理を行っています。
18,28,衆議院の解散とはどういうことですか？,衆議院の解散は、日本国憲法において、内閣の助言と承認により天皇が行う国事行為の一つと定められています。解散によりすべての衆議院議員は、任期満了前に議員としての地位を失い、これに伴う衆議院議員総選挙を総称して解散総選挙と呼びます。衆議院が解散されたときは、解散の日から40日以内に衆議院議員総選挙を行い、その選挙の日から30日以内に国会（特別国会）を召集しなければならず、日本国憲法は衆議院議員総選挙後に初めて国会の召集があったときには当然に内閣は総辞職するものとしています。なお、憲法解釈上は解散権はあくまでも内閣に存しますが、事実上、内閣総理大臣の専権事項となるため、「首相の大権」とも呼ばれます。
19,29,クリスマスツリーの飾りつけの仕方が知りたいな。,クリスマスツリーの用材には、常緑の針葉樹のおもに幼木が用いられます。クリスマス・キャロルの『もみの木』からもうかがわれるとおり、ヨーロッパでは、伝統的にヨーロッパモミが使われてきましたが、現代では、入手が容易であることから広く使われるようになったドイツトウヒや、コーカサスモミ、ノーブルモミなども用いられます。ツリーの先端には、キリストの降誕を知らせたベツレヘムの星にちなみ、多くは星が飾られるが、イギリスなどではクリスマス・エンジェルという天使が飾られます。アダムとイヴが食べた知恵の樹の実を象徴したものとしてリンゴが飾られ、現代ではオーナメントボールと呼ばれる飾りになっていることが多いです。
20,30,強化ガラスの構造はどうなっているの？,強化ガラスとは、容易に割れないようにするために、表面を圧縮して破壊に対する抵抗性を高めたガラスです。強化ガラスの製法の一つにイオン交換法があり、ナトリウムイオンを含有したガラスを、カリウムイオンを含有した水溶液に漬けておき、ガラス表面のNaイオンと水溶液中のKイオンを交換させることで強化させる方法です。KイオンはNaイオンよりも大きいため、ガラス表面には圧縮応力の層が生じ、破壊するには通常のガラスより大きな力が必要になります。もう一つの方法に風冷強化法があり、これは板ガラスを約650 - 700 ℃まで加熱した後、ガラス表面に空気を吹きつけ、急冷により生成する方法です。
21,31,雲が存在する理由を教えてください。,雲は、大気中にかたまって浮かぶ水滴または氷晶のことをいい、雨や雪などの降水は雲の中で成長して地表へ落下します。地球上の殆どの雲は対流圏内で発生し、地表に接しているものは霧と呼ばれます。雲の粒子は大気中に浮かんで存在し、可視光線により人間の目に見えています。大気をもつ惑星表面において、気体成分と液体・固体粒子が浮かぶものを雲と呼ぶため、雲が存在するのは大気が存在するからと言えます。
22,32,油が滑りやすいのはどうして？,物が滑るためには、互いに接する二つの物体が接触面に沿って相対的な運動を行なうことを妨げる力である摩擦力が邪魔になります。物体に運動を行なわせるには、外力が摩擦力のしきい値μNを超えなければなりません。油は分子量が大きく、液体としては水などに比べ粘性が高く皮膜が丈夫で、物体間の摩擦を低減させる効果があります。
23,33,ドラゴンフルーツの名前の由来は？,ドラゴンフルーツ、別名ピタヤは、サボテン科ヒモサボテン族のサンカクサボテン等の果実を指します。中国語名は「火竜果」といいます。日本では果皮が黄色いものを区別してピタヤと呼んでいる場合もありますが、ピタヤは本来サンカクサボテン類の果実の総称であり、ベトナムから日本へ入り始めたころは赤いものもピタヤと呼んでいました。ドラゴンフルーツという呼び名は、ベトナムから輸出する際に中国語から直訳的に英語にした販売用の商品名でした。
24,34,避雷針があることで雷対策になる根拠は何？,避雷針は棒状の導体であり、保護対象とする建築物などの先端部分に設置されます。落雷時にはこの部分に稲妻を呼び込み、接地に導くことによって、当該建造物などの被害を防ぎます。落雷時、避雷針には雷の大電流が到達するため、これに耐えうる接地線を避雷針本体から地面まで引き下げ、地中に埋設した銅板などに接続しています。
25,35,いきなり目の前の火山が噴火したんだが、どうやって生存しようか？,噴火とは、火山からマグマや火山灰などが比較的急速に地中や水中に噴き出す現象のことです。この場合は既に身近に危険が及んでいるため、別の場所へ移る緊急避難を行ないましょう。噴火から逃げるために、災害の危険から逃れるべく緊急的に身の安全を確保する目的で設置された指定緊急避難場所が設置されています。災害の種類ごとに指定緊急避難場所の可・不可があり、噴火の際に避難してはいけないような場所もあります。
26,36,茶碗蒸しを美味しく仕上げる手段は何でしょうか？,茶碗蒸しは、蒸し茶碗に椎茸、ギンナン、ユリ根、蒲鉾、鶏肉、小海老、焼きアナゴ、帆立などの具材と、溶き卵に薄味の出し汁を合わせたものを入れ、吸口にミツバや柚子の皮などを乗せて蒸し器で蒸すという方法で作ります。加熱温度が高すぎると鬆立ちを起こし、舌触りが悪く、硬くなります。これは、60度程で固まりはじめる卵のたんぱく質と100度で沸騰する水に温度差があることで生じる現象です。鬆が入るのを防ぐため、卵液の調製後に一定時間置いたり、温度上昇の速度を緩やかにすると良いでしょう。具体的には蒸し器の蓋はずらして乾いた布巾を挟んでおく方法などがとられます。
27,37,鹿の角は何のためにあるものですか？,哺乳類の角の役割は、まず武器であると考えられます。頭部にあって上や前を向く角は、やや頭を下げたときに、視界方向に突き出す形をとりますが、これもそのような用途に適するものです。天敵に対する武器として使われるとも考えられるほか、同種内で、集団での地位の確認や、メスや餌場の取り合いなどの場合に、雄同士の威嚇やけんかの武器として使われます。枝角を持つシカ科の場合、角を合わせて戦うことは少なく、むしろ角の立派さで地位を決めている種が多いようです。
28,38,洗濯物を早く乾かす方法を知りたい。,乾燥とは、水蒸気の平衡状態を物体側から周囲の媒質側（一般には空気）に偏らせることといえます。その為の方法を大別すると、物体の温度を上昇させることにより水蒸気の発散量を増やし、凝縮し難くすることと、物体周囲の媒質中の水蒸気を除去することで水蒸気の発散を優位にするという二つの方法になります。前者は気温が高いほど早く進行し、後者は送風すると早く進行することに相当します。洗濯を終えたあとの水分を含んだ状態の衣類を乾かすためには、衣類乾燥機が用いられます。排気経路上にあるフィルターのこまめな清掃、洗濯物をよく脱水しておくこと、詰め過ぎないことが大切です。
29,39,レザー素材の特徴について聞きたい。,レザーは、皮革の英語であるleatherのカタカナ転写です。皮革は、動物の皮膚を剥いだ「皮」と、皮から毛を除いて鞣して得られる「革」の総称です。動物の皮膚をそのまま剥ぎ、製品として使用したものを皮といい、これには乾燥させると硬くなるものの、乾燥中に繰り返し揉んだりほぐしたりして加工すると柔らかさを保つ性質があります。しかし、皮には高温多湿の環境では腐るという大きな欠点があるため、これを腐らないよう鞣して加工したものが革です。皮革は硬質の樹脂であるプラスチックが発明されるまで人類が入手できる最も強靭な素材でした。
30,40,電化製品が発熱するのは何故だ？,抵抗器は、一定の電気抵抗値を得る目的で、電気回路用部品として、電流の制限、電圧の分圧、時定数回路などの用途に用いられる電子部品であり受動素子です。抵抗では電極の電位差に応じた電荷の移動が起きているため仕事をし、通常の抵抗ではこの仕事の殆ど全てが熱エネルギーに変換されます。この抵抗が電力を消費する作用は抵抗の最も基礎的な作用であり、抵抗器の用途として非常に重要です。
31,41,煮卵の作り方について教えてほしい。,ゆで卵を叉焼の煮汁やタレで煮れば煮卵となります。冷たい煮汁にゆで卵を入れて沸騰させ、短時間煮た後、汁ごと長時間かけて冷やすなどにより味を染み込ませて作ります。ラーメンのトッピングとしてゆで卵の代わりに煮卵がメニューに加えられている店もあります。ゆで卵を半熟に仕上げ、冷たい汁の中に入れて以降は加熱せずに味付けする「半熟煮卵」が出されることもあります。また、醤蛋（ジャンタン）とも呼ばれます。
32,44,ベニテングダケを食べると体に毒の原因は？,ベニテングタケは、主要毒成分としてイボテン酸とムッシモール、また微量ながら猛毒のムスカリン、溶血性タンパク質を含んでいます。イボテン酸は神経細胞のグルタミン酸受容体、ムッシモールはγ-アミノ酸 (GABA) 受容体に不可逆的に結合し、神経細胞の持続的興奮や抑制、最後には壊死などを引き起こします。胃腸系（腹痛・嘔吐・下痢など）と神経系（発汗・心拍数増加・精神錯乱・幻覚・けいれんなど）の複雑な症状が現れます。食後20 - 30分で瞳孔は開いて眩しくなり、酒酔い状態となります。食べすぎると腹痛、嘔吐、下痢を起こし、重症になると、呼吸困難、昏睡となります。
33,47,商品の包装で段ボールを使うメリットを答えてください。,商品の包装で段ボールを使うメリットは、軽さと強度、構造に由来する衝撃吸収性、何度も折り畳んでは組み立てられる利便性などがあげられます。段ボール箱からは腐食性ガスがわずかながら発生するので、電子部品などの長期保存には向きません。引っ越しやインターネット通販などで使った段ボール箱を折り畳んで保管しておくとチャタテムシやゴキブリの棲み処になるため、使用後は古紙回収に出すことが望ましいです。
34,48,蒸気機関車が走行できる理由は？,蒸気機関車が走行できる理由ですが、まず火室で石炭等の燃料を効率よく燃やして、高温の燃焼ガスを作ります。火室で発生した燃焼ガスの持つ熱エネルギーを利用して水を沸騰させ、ボイラーで高温高圧の蒸気を作ります。各種弁装置でシリンダーに送る蒸気の方向や量を制御します。シリンダーで蒸気のエネルギーを往復運動のエネルギーに変えます。ロッドと動輪でシリンダーの往復運動を回転運動に変換し駆動力を発生させることにより、蒸気機関車が走行できます。
35,49,大根の育ち方について説明願いたい。,大根の育ち方ですが、栽培時期は、春に種まきして夏に収穫する「春まき」と、初秋に種まきして初冬に収穫する「秋まき」があります。秋まきのほうがとうが立ちにくく作りやすいです。栽培適温は15 - 25℃とされ、連作することができます。移植を嫌うため、畑に直接種をまいて、間引きながら育てます。畑となる土壌に石などが混じっていると根がまっすぐに伸びないため、取り除いておくことが重要になります。
36,50,銀を加工する方法は何か教えてください。,銀を加工する方法として、アマルガムを使う方法と灰吹法などがあります。アマルガム法では、粉砕した銀の鉱石をさらに微細な粒になるまで挽き、これに水を加えて練り水銀とともに撹拌すると鉱石中の銀が水銀に溶け込むので、これをキューペル（灰吹き皿）にのせて加熱します。水銀が蒸発し不純物がキューペルに吸収されたあとに銀の合金が得られます。灰吹法では、銀を鉱石などからいったん鉛に溶け込ませ、さらにそこから銀を抽出します。
37,51,サボテンが乾燥帯でも生きていけるのは何故なのかな？,サボテンが乾燥帯でも生きていけるのは、涼しい夜に気孔を開け、CO2の取り込みを行い、昼は気孔を閉じることで水分の損失を最小限に抑えることができるようになっているからです。サボテンは、砂漠といった水分が慢性的に不足し、かつ昼夜の温度差が大きい環境に適応したものだと考えられています。茎全体はクチクラ（ワックスの皮膜）で水分の損失や強い日差しや低温を防いでいます。サボテンは、貯水組織が発達し、耐乾性に優れているものが多いです。
38,53,赤道付近の気温が常に暑いのはどういう理由か？,赤道付近の気温が常に暑いのは、年間を通じた日射量（面積あたりの日射量）が最も大きいからです。そのため温暖で、強い上昇気流を生じています。この上昇気流のため低気圧地帯（熱帯収束帯）を生じ、雨量の豊富な熱帯の気候を形成しています。地球で最も気温の高い地域を熱赤道と言います。熱赤道は公転軸に対して地軸が傾いているため移動し、この結果、季節が生じます。
39,54,肥満の予防について教えてくれないか？,肥満の予防としては、食事療法と運動療法の2つであると言われています。 短期的には減量できるが、減量した体重を維持するのはなかなか難しく、運動と減食を続けるように、と要求されることが多いです。生活習慣の改善を伴った長期的な減量成功率は、「2 - 20%」とされています。食生活の改善は、妊娠期における体重増加を食い止め、母子の健康を改善します。
40,56,炭酸水の正体は何？,炭酸水の正体は、炭酸ガスを含む水で、ソーダ水・ソーダとも言われます。特にソフトドリンクでは、飲み物に清涼感を与える目的で、炭酸を原料の一つに使用し気泡を立たせます。または炭酸飲料とも呼ばれます。日本農林規格（JAS）では、ガス内圧が0.29MPa以上の飲料が該当します。炭酸水は、人工的には、水と炭酸ガスに圧力をかけて工場生産されています。
41,58,ハイダイナミックレンジとはどのような機能ですか？,"ハイダイナミックレンジ (英語: High dynamic range, HDR) は、通常よりも高いダイナミックレンジのことです。ハイダイナミックレンジは様々な信号、例えば、ビデオ、もしくは画像、音声に対して用いられます。またアナログおよびデジタル化された信号に対してその信号を記録、信号処理、および再生する手段に用いられることがあります。同義語としてワイドダイナミックレンジやダイナミックレンジ拡張、ダイナミックレンジ拡大があります。"
42,60,PCを再起動する手段には何がありますか？,PCの再起動は、コンピューター関連分野において、動作中のコンピュータシステムが、故意または意図せずに再度始動するプロセスです。再起動には、システムの電源を物理的に切断するハードリブート（コールドリブートとして知られる）と、電源供給の中断やリセット線を必要としないソフトリブート（ウォームリブートとして知られる）が挙げられます。ハードリブートの手段として、システムリセットボタンによるリセットがあります。
43,61,バンダイナムコという企業の活動について説明してください。,バンダイナムコグループ（英: Bandai Namco Group）は、バンダイナムコホールディングスを中心核とする日本のエンターテインメント企業グループです。略称は「バンナム」です。主に玩具・模型を中心としたトイホビー事業、家庭用ゲーム・スマートフォンアプリゲーム・アーケードゲームを中心としたゲーム事業、映像ソフト・音楽ソフト・イベント興行・アニメ制作を中心とした映像・音楽事業を中核事業にしているのが特徴です。
44,63,インキャット社とは主に何を生産している会社でしょうか？,インキャット（INCAT）はオーストラリアのタスマニア州ホバートに本社を置く造船会社です。主に高速双胴船を建造しています。主な建造船は、「ホバースピード・グレートブリテン」 - 74m型、「カタロニア」 - 91m型、「キャットリンク5」 - 91m型、「ジョイント・ヴェンチャー」 - 96m型、「スウィフト」 - 98m型、「ナッチャンRera」 - 112m型、「ナッチャンWorld」 - 112m型、「あかね」 - 85m型などになります。
45,65,北海道函館市の観光について教えてください？,函館市は北海道南部に位置し、北海道南端の渡島半島南東部で天然の良港である函館港によって北海道と本州を結ぶ交通結節点、道南地域の中心都市として発展してきました。札幌市・旭川市に次ぐ北海道第3位の人口（約24万人）を有する中核市です。毎年500万人以上の観光客が訪れる観光都市となっており、市町村の魅力度ランキング調査では2019年までに6回全国で1位となる等、常に上位にランクインする都市になっています。観光PRとして親善大使「ミスはこだて」を任命し、函館出身や函館にゆかりのある方に観光大使「はこだて観光大使」を依頼しています。
46,67,船酔いの防止方法を教えて下さい。,乗り物酔いとは、航空機・列車・自動車・船舶・遊園地の遊具など、各種の乗り物が発する揺れなどの加速度によって、体の内耳にある三半規管が刺激されることで起こる身体の諸症状です。有効成分は抗ヒスタミン薬やスコポラミンが使われていますが、実験による裏付けが必ずしも十分でなく、効果や副作用の点で今後の新薬開発の余地が多く残されている分野です。いずれの薬も、嘔吐が始まってからでは効果が期待できないため、乗り物に乗る30分～1時間前に服用します。乗り物酔いは心理的効果が大きく現れるため、プラセボ効果も無視できません。
47,68,全国地震動予測地図の作成方法を教えて下さい？,地震調査研究推進本部 地震調査委員会の報告「全国を概観した地震動予測地図」は翠川ら（1999）による最大速度から震度への換算式を表層地盤増幅率の分布などと組み合わせて推定震度を算出しています。しかし、2011年に発生した東日本大震災は評価において想定されておらず、地震危険度評価に対して疑問を投げかけました。このため毎年更新していた全国地震動予測地図の更新を一時取り止め、低頻度の巨大地震や複数の活断層の連動を評価に反映できるよう改善、2014年から再開しています。
48,69,震度何以上で被害が大きくなる震度なのか教えて下さい？,地震による周囲の様子と被害状況は震度5弱から大きく現れます。震度5では歩行の支障、耐震性を謳っている家屋では柱や梁などの接合部分の軋む音が鳴り断水する地域も現れます。震度６では震央付近の地域で地割れが確認でき、断層が地表に現れて植林の少ない地域では山崩れが発生します。震度７では電気・ガス・水道などの主要ライフラインの供給が停止して、多くの道路の表装がめくれ鉄道・高速道路などの広域交通機関が破壊されて都市機能が消滅し周辺地域と孤立します。
49,70,活断層と揺れやすい地盤の位置について教えて下さい？,活断層とは「断層」のうち、最近の地質時代（特に数十万年前以降）に繰り返し活動し将来も活動すると推定される断層のことです。地震により一度地層が壊されると断層に沿って地盤は弱くなるため再び力が加わると同じ場所がずれ動く可能性が高くなります。新しい時代に形成された地形や地層に比べて、古い時代に形成された地形や地層ほど大きくずれていれば、繰り返しずれを生じた証拠と考えられます。また、古いものほど地震を多数回経験しているため今後も同じように繰り返し地震を発生すると考えられます。
50,71,地震災害の伝達方法について教えて下さい。,地震が発生した際、気象庁は「地震情報」として、観測された震度や地震の震源、津波の有無などを発表します。NHKでの地震速報では大抵、震度5弱以上の時は「強い地震」、震度4の時は「やや強い地震」、震度3の時は「地震」と地震の強度をコメントすることが多く震度3以上の場合には地上デジタル放送のデータ放送で全国向けに速報します。一方、民放では震度7・震度6強の時は「非常に強い地震」と表現することもあります。
51,72,避難場所の設定の必要性ついて教えて下さい。,避難所とは、避難するための施設や場所のことで、従来の災害対策基本法においては、「切迫した災害の危険から一時的に逃れるための避難場所」と、「損壊した自宅に戻れないなどの理由で避難生活を送るための避難所」が必ずしも明確に区別されておらず、東日本大震災では被害拡大の一因ともなったと指摘されています。このため、2013年6月に改正された災害対策基本法において、緊急避難場所（指定緊急避難場所）と、一定期間滞在し、避難者の生活環境を確保するための 避難所（指定避難所）が明確に区別され切迫した災害の危険から一時的に逃れるために設定されました。
52,73,災害発生時の水と食料の入手方法について教えて下さい。,災害などが発生した後も、住民のことを考えてあえて店を営業し、各店舗が住民に品物を提供することが行われることがあります。基本的には普段どおりの価格で販売されますが、現金を失ってしまった住民や財布も持たずに避難した住民などに向けて、良心的な商店主などによって利益度外視、大赤字承知で商品を無料で提供するなどということが行われることもあります。
53,74,どういうボランティアがあるのでしょうか？,ボランティアは、自らの意志により志願することです。従って、学校や企業が生徒や社員を動員して行う「ボランティア」は正確に言えば「社会奉仕活動」です。文部省の定めるボランティア活動の基本理念は、公共性、自発性、先駆性です。ボランティア活動例としては、石油流出事故で汚染された海岸の清掃、選挙運動のボランティア、災害現場での土砂除去などがあります。
54,76,緊急車両の見分け方について教えて下さい。,道路交通法施行令13条1項に規定する緊急自動車は、緊急の用務のため運転するときは、道路運送車両法第3章（自衛隊用自動車については自衛隊法114条2項の規定による防衛大臣の定め）及びこれに基づく命令の規定により設けられるサイレンを鳴らし、かつ、赤色の警光灯をつけています。警察用自動車がスピード違反をする車両又は路面電車を取り締まる場合において、特に必要があると認めるときは、サイレンを鳴らさなくともよい（道路交通法施行令14条）とされています。
55,80,山火事や噴火など、森林破壊０に関係してくる要因について教えて下さい。,"森林破壊の大部分を引き起こしているのは、牛肉、大豆、パーム油、木製品の4つの商品であり、これらのうち最大の影響力を持っているのは牛肉です。牛肉が主な輸出品となっている中米のニカラグアでは、2011年から2016年の5年間に540km2の森林が草地に変わり牛の放牧がされていて、オーストラリアのクイーンズランド州にある57の肉牛施設で、2018年以降13,500ヘクタールの森林破壊が行われました。道路や鉄道の開発も大規模な森林破壊を引き起こす原因の一つです。 レールの敷設の為に進路に沿って森林が伐採される他、枕木や労働者の暖房、調理の為に大量の木材が調達される為に森林が大きく破壊されています。"
56,83,青森の海洋状況を教えて下さい。,青森の海洋状況は、東は太平洋、西は日本海、北は津軽海峡に面しています。太平洋側の南に岩手県が、日本海側の南に秋田県が隣接し、津軽海峡の対岸に北海道が位置しています。同海峡の中央部は公海（ただし、日本の排他的経済水域）でありますが、同海峡を潜る青函隧道は公海下も日本の領土であり、ここで東津軽郡外ヶ浜町と北海道松前郡福島町が隣接しています。
57,85,都市部と離島などへの救助方法の違いを教えて下さい。,指定都市においては、消防の専門部隊である特別高度救助隊の設置が義務付けられています。「特別高度救助隊」を東京都及び政令指定都市に、「高度救助隊」を中核市等に整備をするとされ、「高度救助隊の数のうち、特別区が連合して維持する消防及び指定都市にあっては1以上の高度救助隊を特別高度救助隊とする」ことになっています。離島や過疎地域等の救急隊においては、平成29年4月からは3名のうち1名を准救急団員（自治体職員等で救急業務に関する基礎的な講習を終えた者）で構成することが可能となりました。日本初の企業「日本救急システム」が宮崎県美郷町および徳島県勝浦町、沖縄県竹富町から委託を受けて実施しています。
